Counties,None_Care,First_Trimester,Second_Trimester,Third_Trimester,Unknown_Care,Total_Care,Year
ALAMANCE ,52,1261,401,103,46,1863,2019
ALEXANDER ,9,269,51,26,2,357,2019
ALLEGHANY ,3,52,18,5,1,79,2019
ANSON ,9,163,64,15,3,254,2019
ASHE ,4,158,31,11,0,204,2019
AVERY ,2,112,14,4,3,135,2019
BEAUFORT ,8,322,92,10,1,433,2019
BERTIE ,0,133,22,6,0,161,2019
BLADEN ,18,211,86,28,1,344,2019
BRUNSWICK ,23,670,246,58,29,1026,2019
BUNCOMBE ,34,2042,220,35,133,2464,2019
BURKE ,16,646,173,51,4,890,2019
CABARRUS ,54,1775,548,141,19,2537,2019
CALDWELL ,14,587,209,67,5,882,2019
CAMDEN ,0,91,13,0,0,104,2019
CARTERET ,5,390,93,33,0,521,2019
CASWELL ,4,143,46,10,6,209,2019
CATAWBA ,39,1287,267,90,4,1687,2019
CHATHAM ,3,439,126,18,23,609,2019
CHEROKEE ,2,190,28,14,11,245,2019
CHOWAN ,0,105,17,1,0,123,2019
CLAY ,1,65,14,1,5,86,2019
CLEVELAND ,24,800,257,52,13,1146,2019
COLUMBUS ,12,316,104,30,100,562,2019
CRAVEN ,14,959,268,72,6,1319,2019
CUMBERLAND ,84,3961,1113,289,15,5462,2019
CURRITUCK ,1,223,28,5,2,259,2019
DARE ,2,247,51,8,2,310,2019
DAVIDSON ,35,1170,385,176,9,1775,2019
DAVIE ,25,293,69,15,0,402,2019
DUPLIN ,17,456,190,52,3,718,2019
DURHAM ,62,2915,887,235,59,4158,2019
EDGECOMBE ,18,319,202,32,1,572,2019
FORSYTH ,93,3139,884,264,30,4410,2019
FRANKLIN ,97,446,146,70,11,770,2019
GASTON ,71,1779,605,119,25,2599,2019
GATES ,0,71,21,4,1,97,2019
GRAHAM ,2,76,10,3,6,97,2019
GRANVILLE ,29,365,129,40,5,568,2019
GREENE ,4,170,40,10,1,225,2019
GUILFORD ,106,3826,1655,442,16,6045,2019
HALIFAX ,10,390,97,35,5,537,2019
HARNETT ,74,1243,407,113,23,1860,2019
HAYWOOD ,12,435,54,16,8,525,2019
HENDERSON ,19,779,156,30,38,1022,2019
HERTFORD ,2,152,34,5,2,195,2019
HOKE ,19,605,189,47,7,867,2019
HYDE ,0,27,8,2,0,37,2019
IREDELL ,68,1292,420,100,4,1884,2019
JACKSON ,6,273,61,19,13,372,2019
JOHNSTON ,42,1853,509,108,10,2522,2019
JONES ,1,50,32,9,0,92,2019
LEE ,17,434,243,56,31,781,2019
LENOIR ,13,460,120,24,2,619,2019
LINCOLN ,32,645,151,42,1,871,2019
MCDOWELL ,2,351,53,18,10,434,2019
MACON ,4,237,56,11,10,318,2019
MADISON ,0,150,17,4,10,181,2019
MARTIN ,2,166,45,8,0,221,2019
MECKLENBURG ,441,8777,4021,1111,48,14398,2019
MITCHELL ,1,105,14,6,1,127,2019
MONTGOMERY ,3,164,89,21,1,278,2019
MOORE ,19,743,309,70,6,1147,2019
NASH ,29,741,263,62,6,1101,2019
NEW HANOVER ,22,1387,638,110,15,2172,2019
NORTHAMPTON ,1,129,22,12,1,165,2019
ONSLOW ,61,2467,945,330,18,3821,2019
ORANGE ,9,870,199,51,35,1164,2019
PAMLICO ,0,58,12,3,0,73,2019
PASQUOTANK ,4,350,98,17,5,474,2019
PENDER ,12,396,175,32,9,624,2019
PERQUIMANS ,0,88,26,4,0,118,2019
PERSON ,5,270,124,24,12,435,2019
PITT ,35,1632,359,51,2,2079,2019
POLK ,7,104,28,6,21,166,2019
RANDOLPH ,29,992,426,88,11,1546,2019
RICHMOND ,11,312,185,49,4,561,2019
ROBESON ,158,925,450,150,48,1731,2019
ROCKINGHAM ,4,678,147,53,3,885,2019
ROWAN ,49,1003,376,111,9,1548,2019
RUTHERFORD ,21,421,151,45,42,680,2019
SAMPSON ,21,481,165,55,5,727,2019
SCOTLAND ,12,254,138,31,7,442,2019
STANLY ,4,509,132,22,1,668,2019
STOKES ,10,276,67,17,0,370,2019
SURRY ,21,553,134,55,3,766,2019
SWAIN ,3,133,30,8,7,181,2019
TRANSYLVANIA ,9,215,21,2,15,262,2019
TYRRELL ,0,24,5,1,0,30,2019
UNION ,25,1491,606,151,6,2279,2019
VANCE ,38,315,152,62,3,570,2019
WAKE ,465,8159,3016,912,137,12689,2019
WARREN ,7,87,32,16,3,145,2019
WASHINGTON ,2,95,30,5,0,132,2019
WATAUGA ,4,238,57,13,1,313,2019
WAYNE ,30,1032,433,114,10,1619,2019
WILKES ,14,418,173,59,5,669,2019
WILSON ,20,661,231,60,4,976,2019
YADKIN ,13,242,87,31,2,375,2019
YANCEY ,3,146,15,4,6,174,2019