Counties,Singleton,Twins,Other_Multiples,Unknown_plural,Total,Year
ALAMANCE ,1806,55,2,0,1863,2019
ALEXANDER ,346,11,0,0,357,2019
ALLEGHANY ,77,2,0,0,79,2019
ANSON ,241,13,0,0,254,2019
ASHE ,198,6,0,0,204,2019
AVERY ,135,0,0,0,135,2019
BEAUFORT ,413,20,0,0,433,2019
BERTIE ,155,6,0,0,161,2019
BLADEN ,338,6,0,0,344,2019
BRUNSWICK ,1000,26,0,0,1026,2019
BUNCOMBE ,2402,59,3,0,2464,2019
BURKE ,860,30,0,0,890,2019
CABARRUS ,2449,85,3,0,2537,2019
CALDWELL ,854,28,0,0,882,2019
CAMDEN ,98,6,0,0,104,2019
CARTERET ,505,16,0,0,521,2019
CASWELL ,197,12,0,0,209,2019
CATAWBA ,1644,40,3,0,1687,2019
CHATHAM ,585,24,0,0,609,2019
CHEROKEE ,233,12,0,0,245,2019
CHOWAN ,115,8,0,0,123,2019
CLAY ,84,2,0,0,86,2019
CLEVELAND ,1120,26,0,0,1146,2019
COLUMBUS ,542,20,0,0,562,2019
CRAVEN ,1281,38,0,0,1319,2019
CUMBERLAND ,5244,212,6,0,5462,2019
CURRITUCK ,251,8,0,0,259,2019
DARE ,306,4,0,0,310,2019
DAVIDSON ,1707,68,0,0,1775,2019
DAVIE ,387,15,0,0,402,2019
DUPLIN ,698,20,0,0,718,2019
DURHAM ,4032,126,0,0,4158,2019
EDGECOMBE ,559,13,0,0,572,2019
FORSYTH ,4250,160,0,0,4410,2019
FRANKLIN ,740,30,0,0,770,2019
GASTON ,2502,97,0,0,2599,2019
GATES ,95,2,0,0,97,2019
GRAHAM ,91,6,0,0,97,2019
GRANVILLE ,556,12,0,0,568,2019
GREENE ,223,2,0,0,225,2019
GUILFORD ,5851,188,6,0,6045,2019
HALIFAX ,515,22,0,0,537,2019
HARNETT ,1815,42,3,0,1860,2019
HAYWOOD ,512,13,0,0,525,2019
HENDERSON ,1001,21,0,0,1022,2019
HERTFORD ,191,4,0,0,195,2019
HOKE ,839,28,0,0,867,2019
HYDE ,37,0,0,0,37,2019
IREDELL ,1831,53,0,0,1884,2019
JACKSON ,370,2,0,0,372,2019
JOHNSTON ,2425,97,0,0,2522,2019
JONES ,90,2,0,0,92,2019
LEE ,736,42,3,0,781,2019
LENOIR ,609,10,0,0,619,2019
LINCOLN ,846,25,0,0,871,2019
MCDOWELL ,416,18,0,0,434,2019
MACON ,308,10,0,0,318,2019
MADISON ,181,0,0,0,181,2019
MARTIN ,217,4,0,0,221,2019
MECKLENBURG ,13936,450,12,0,14398,2019
MITCHELL ,127,0,0,0,127,2019
MONTGOMERY ,266,12,0,0,278,2019
MOORE ,1109,38,0,0,1147,2019
NASH ,1062,36,3,0,1101,2019
NEW HANOVER ,2108,64,0,0,2172,2019
NORTHAMPTON ,161,4,0,0,165,2019
ONSLOW ,3696,119,6,0,3821,2019
ORANGE ,1113,48,3,0,1164,2019
PAMLICO ,73,0,0,0,73,2019
PASQUOTANK ,458,16,0,0,474,2019
PENDER ,606,18,0,0,624,2019
PERQUIMANS ,116,2,0,0,118,2019
PERSON ,425,10,0,0,435,2019
PITT ,1996,79,4,0,2079,2019
POLK ,164,2,0,0,166,2019
RANDOLPH ,1498,48,0,0,1546,2019
RICHMOND ,539,22,0,0,561,2019
ROBESON ,1680,48,3,0,1731,2019
ROCKINGHAM ,863,22,0,0,885,2019
ROWAN ,1495,50,3,0,1548,2019
RUTHERFORD ,664,16,0,0,680,2019
SAMPSON ,709,18,0,0,727,2019
SCOTLAND ,428,14,0,0,442,2019
STANLY ,650,18,0,0,668,2019
STOKES ,366,4,0,0,370,2019
SURRY ,741,25,0,0,766,2019
SWAIN ,173,8,0,0,181,2019
TRANSYLVANIA ,254,8,0,0,262,2019
TYRRELL ,30,0,0,0,30,2019
UNION ,2208,71,0,0,2279,2019
VANCE ,549,21,0,0,570,2019
WAKE ,12261,411,17,0,12689,2019
WARREN ,138,7,0,0,145,2019
WASHINGTON ,119,10,3,0,132,2019
WATAUGA ,308,5,0,0,313,2019
WAYNE ,1568,48,3,0,1619,2019
WILKES ,643,26,0,0,669,2019
WILSON ,943,30,3,0,976,2019
YADKIN ,363,12,0,0,375,2019
YANCEY ,168,6,0,0,174,2019