Counties,Per_Capita_Income,Median_Houshold_Income,Population
Alamance,22819,44167,151131
Alexander,20716,40014,37198
Alleghany,18919,30845,11155
Anson,16856,34745,26948
Ashe,20350,34538,27281
Avery,23465,34918,17797
Beaufort,22728,40653,47759
Bertie,17614,29110,21282
Bladen,17890,30471,35190
Brunswick,26315,45806,107431
Buncombe,25665,44190,238318
Burke,19220,37139,90912
Cabarrus,26165,53928,178011
Caldwell,19686,37261,83029
Camden,25544,61091,9980
Carteret,26791,46155,66469
Caswell,17814,36927,23719
Catawba,22969,43484,154358
Chatham,29991,56038,63505
Cherokee,20747,38144,27444
Chowan,20900,36761,14793
Clay,20474,35109,10587
Cleveland,19284,38208,98078
Columbus,18784,35421,58098
Craven,24591,44599,103505
Cumberland,22285,43834,319431
Currituck,26083,55376,23547
Dare,30327,53889,33920
Davidson,22268,44249,162878
Davie,26139,49727,41240
Duplin,16693,32816,58505
Durham,27503,49894,267587
Edgecombe,16747,32665,56552
Forsyth,26213,46749,350670
Franklin,21331,43710,60619
Gaston,22305,43253,206086
Gates,19893,45682,12197
Graham,17825,28447,8861
Granville,21733,48210,59916
Greene,17362,41488,21362
Guilford,26267,45676,488406
Halifax,50223,30439,54691
Harnett,19274,42853,114678
Haywood,24233,41377,59036
Henderson,26061,46446,106740
Hertford,17002,30878,24669
Hoke,17630,42927,46952
Hyde,14992,38265,5810
Iredell,25610,48962,159437
Jackson,20228,37190,40271
Johnston,22437,49745,168878
Jones,20066,38354,10153
Lee,21061,44120,57866
Lenoir,19017,33625,59495
Lincoln,23560,47450,78265
Macon,26156,38615,33922
Madison,18792,38580,20764
Martin,18728,34766,24505
McDowell,18798,34953,44996
Mecklenburg,31848,55294,919628
Mitchell,18804,32743,15579
Montgomery,18618,33861,27798
Moore,25786,48319,88247
Nash,23909,44499,95840
New Hanover,29363,48553,202667
Northampton,17128,30578,22099
Onslow,21048,43561,177772
Orange,32912,52981,133801
Pamlico,23320,40561,13144
Pasquotank,21736,44085,40661
Pender,22872,44338,52217
Perquimans,22085,43041,13453
Person,21848,44668,39464
Pitt,21935,38592,168148
Polk,24008,43692,20510
Randolph,21297,40346,141752
Richmond,17692,30439,46639
Robeson,15321,29667,134168
Rockingham,20801,39231,93643
Rowan,21525,43596,138428
Rutherford,18961,35364,67810
Sampson,19086,35740,63431
Scotland,16297,29368,36157
Stanly,21139,44802,60585
Stokes,20852,42689,47401
Surry,20541,37294,73673
Swain,19297,35071,13981
Transylvania,23939,39408,33090
Tyrrell,15812,32215,4407
Union,28596,63386,201292
Vance,17622,34025,45422
Wake,32592,63770,900993
Warren,17838,30641,20972
Washington,16982,32716,13228
Watauga,20961,31967,51079
Wayne,20446,41224,122623
Wilkes,19406,33438,69340
Wilson,20691,38596,81234
Yadkin,20379,39807,38406
Yancey,18576,35703,17818