counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
YADKIN,1,294,83,13,1,2017,201,191,0,376,16,0,0,304,9,1,78,0,5,35,352,0,37588
YANCEY,3,152,14,1,0,2017,84,86,0,170,0,0,0,145,0,1,24,0,1,12,157,0,17697
ALAMANCE,44,1237,522,130,25,2018,1023,935,0,1890,68,0,0,1041,447,56,414,4,32,146,1776,0,166514
ALEXANDER,7,260,57,14,6,2018,170,174,0,338,6,0,0,290,18,8,28,0,3,27,314,0,37331
ALLEGHANY,1,63,15,12,0,2018,46,45,0,85,6,0,0,71,2,0,18,0,2,6,83,0,11138
ANSON,8,155,71,26,3,2018,138,125,0,249,14,0,0,118,128,5,12,1,5,37,220,0,24470
ASHE,1,147,42,6,3,2018,97,102,0,193,6,0,0,177,2,2,18,0,2,13,184,0,27099
AVERY,1,125,25,12,0,2018,82,81,0,157,6,0,0,147,0,2,14,0,2,17,143,1,17528
BEAUFORT,1,305,93,17,0,2018,193,223,0,410,6,0,0,227,133,7,49,2,2,33,379,0,47056
BERTIE,1,134,37,7,0,2018,96,83,0,169,10,0,0,60,113,1,5,0,3,18,158,0,19106
BLADEN,9,217,108,30,7,2018,181,190,0,355,16,0,0,177,136,11,47,0,4,36,331,0,33151
BRUNSWICK,19,662,219,49,38,2018,535,452,0,960,27,0,0,755,109,13,110,5,13,73,896,0,136880
BUNCOMBE,37,2130,259,37,19,2018,1252,1230,0,2411,71,0,0,1891,197,67,327,4,19,195,2263,1,259259
BURKE,14,640,176,29,4,2018,417,446,0,836,27,0,0,642,39,77,105,3,12,71,774,3,90405
CABARRUS,28,1715,622,129,15,2018,1286,1223,0,2419,84,6,0,1358,518,217,416,5,28,191,2285,0,211597
CALDWELL,13,547,162,53,2,2018,387,390,0,751,26,0,0,667,42,7,61,1,10,49,717,0,82026
CAMDEN,0,81,14,2,1,2018,50,48,0,96,2,0,0,87,8,1,2,0,1,6,91,0,10676
CARTERET,9,388,77,26,1,2018,256,245,0,487,14,0,0,424,32,8,37,1,5,32,463,0,69438
CASWELL,7,138,50,16,7,2018,111,107,0,200,18,0,0,127,72,4,15,1,5,23,189,0,22634
CATAWBA,38,1298,284,64,9,2018,846,847,0,1655,38,0,0,1115,170,135,273,2,24,98,1569,0,158687
CHATHAM,10,475,133,21,11,2018,355,295,0,622,25,3,0,424,69,16,141,1,11,49,589,0,73127
CHEROKEE,5,194,43,16,0,2018,145,113,0,250,8,0,0,224,5,12,17,0,4,16,238,0,28369
CHOWAN,1,103,34,5,0,2018,78,65,0,138,2,3,0,73,66,0,4,1,5,12,125,0,14065
CLAY,0,67,13,1,2,2018,48,35,0,81,2,0,0,78,1,0,4,0,1,4,78,0,11124
CLEVELAND,26,745,311,66,14,2018,597,565,0,1115,44,3,0,789,294,13,66,1,16,106,1039,0,97519
COLUMBUS,13,327,116,28,82,2018,276,290,0,554,12,0,0,316,179,21,50,1,8,63,494,0,55819
CRAVEN,18,966,267,81,5,2018,685,652,0,1293,38,6,0,825,296,72,144,2,13,102,1220,0,102338
CUMBERLAND,72,3902,1181,225,22,2018,2754,2648,0,5218,178,6,0,2171,2131,313,787,13,104,419,4866,0,333430
CURRITUCK,4,212,37,10,0,2018,140,123,0,253,7,3,0,232,13,8,10,0,5,24,234,0,27016
DARE,1,256,51,4,6,2018,170,148,0,312,6,0,0,250,11,4,53,0,2,7,309,0,36607
DAVIDSON,49,1244,373,79,6,2018,903,848,0,1705,46,0,0,1307,213,39,192,3,25,139,1584,0,166358
DAVIE,4,298,79,17,0,2018,197,201,0,386,12,0,0,327,26,3,42,0,5,29,364,0,42563
DUPLIN,19,426,214,38,10,2018,364,343,0,681,26,0,0,299,154,3,251,1,6,42,658,0,58991
DURHAM,59,2960,882,220,30,2018,2089,2062,0,4004,132,15,0,1632,1364,256,899,7,63,292,3788,1,316979
EDGECOMBE,17,336,195,45,0,2018,298,295,0,580,13,0,0,164,368,4,57,0,7,62,523,1,51984
FORSYTH,43,3104,922,217,44,2018,2207,2123,0,4176,148,6,0,2049,1246,161,874,17,78,357,3877,1,379216
FRANKLIN,46,423,165,47,16,2018,349,348,0,655,39,3,0,421,173,18,85,0,9,63,624,1,67625
GASTON,55,1677,627,154,13,2018,1316,1210,0,2440,86,0,0,1628,546,62,290,3,39,192,2292,0,222630
GATES,2,71,16,4,1,2018,42,52,0,90,4,0,0,69,22,1,2,0,3,5,86,0,11563
GRAHAM,3,58,13,4,0,2018,38,40,0,78,0,0,0,60,0,12,6,0,0,5,73,0,8461
GRANVILLE,26,369,152,39,4,2018,275,315,0,578,12,0,0,344,169,9,68,0,10,47,533,0,59979
GREENE,7,140,48,6,5,2018,105,101,0,200,6,0,0,96,66,1,43,3,1,17,185,0,21106
GUILFORD,119,3680,1731,561,24,2018,3153,2961,1,5884,225,6,0,2285,2540,490,800,7,89,496,5519,4,532607
HALIFAX,8,367,126,26,10,2018,267,270,0,519,18,0,0,186,307,29,15,4,17,49,467,0,50634
HARNETT,71,1218,422,109,25,2018,987,858,0,1781,64,0,0,1051,436,58,300,6,25,137,1677,0,134336
HAYWOOD,6,436,86,13,0,2018,282,259,0,533,8,0,0,496,8,8,29,0,2,48,491,0,61890
HENDERSON,12,877,156,35,13,2018,545,548,0,1065,28,0,0,809,49,33,202,1,10,88,994,0,116500
HERTFORD,5,176,43,5,1,2018,112,118,0,226,4,0,0,76,146,1,7,1,6,13,210,0,23878
HOKE,15,598,182,46,5,2018,414,432,0,825,21,0,0,377,214,84,171,2,16,49,779,0,54695
HYDE,1,25,8,1,0,2018,15,20,0,33,2,0,0,20,7,0,8,0,0,2,33,0,5026
IREDELL,33,1298,448,104,8,2018,976,915,0,1830,58,3,0,1346,268,67,210,3,25,158,1705,0,178332
JACKSON,16,257,71,17,5,2018,190,176,0,358,8,0,0,244,4,77,41,1,3,36,326,0,43600
JOHNSTON,33,1629,533,94,10,2018,1175,1124,0,2230,69,0,0,1386,411,47,455,4,27,174,2094,0,202692
JONES,2,57,25,4,0,2018,46,42,0,84,4,0,0,58,22,2,6,0,4,2,82,0,9613
LEE,10,473,233,54,22,2018,417,375,0,769,23,0,0,371,161,6,254,1,19,62,710,0,61208
LENOIR,14,420,140,46,4,2018,333,291,0,598,26,0,0,257,293,6,68,2,11,67,544,0,55990
LINCOLN,12,596,196,49,3,2018,425,431,0,830,24,2,0,695,56,20,85,0,13,62,779,2,84092
MCDOWELL,6,355,41,15,1,2018,220,198,0,400,18,0,0,358,12,7,41,0,4,44,369,1,45465
MACON,4,237,63,16,2,2018,156,166,0,316,6,0,0,256,1,6,59,0,3,25,294,0,35274
MADISON,5,192,19,3,2,2018,106,115,0,219,2,0,0,209,0,4,8,0,1,19,201,0,21665
MARTIN,7,198,34,7,1,2018,134,113,0,233,14,0,0,120,111,5,11,1,6,20,220,0,22660
MECKLENBURG,333,9175,3994,1088,61,2018,7376,7275,0,14110,522,19,0,5595,4702,1399,2955,31,212,1179,13224,5,1093750
MITCHELL,1,118,21,7,2,2018,81,68,0,149,0,0,0,135,3,0,11,0,0,9,140,0,14996
MONTGOMERY,1,179,77,20,1,2018,144,134,0,271,7,0,0,159,44,8,67,1,6,20,251,0,27077
MOORE,19,768,313,63,5,2018,600,568,0,1117,48,3,0,821,166,37,144,3,13,81,1071,0,98805
NASH,25,698,259,60,4,2018,509,537,0,1007,39,0,0,418,477,24,127,1,18,91,936,0,94094
NEW HANOVER,32,1428,568,104,14,2018,1047,1099,0,2088,55,3,0,1427,378,55,286,6,25,156,1959,0,232256
NORTHAMPTON,2,127,33,7,2,2018,87,84,0,171,0,0,0,61,101,0,9,1,0,13,157,0,19698
ONSLOW,65,2722,792,322,22,2018,2014,1909,0,3810,113,0,0,2714,480,126,603,7,35,208,3673,0,196915
ORANGE,14,804,250,41,25,2018,549,585,0,1103,31,0,0,679,132,130,193,0,17,81,1036,0,147980
PAMLICO,3,62,20,5,0,2018,52,38,0,86,4,0,0,70,14,3,3,0,1,5,84,0,12633
PASQUOTANK,7,319,104,21,3,2018,244,210,0,441,13,0,0,242,159,9,44,2,4,42,406,0,39583
PENDER,7,427,143,37,9,2018,330,293,0,598,22,3,0,437,93,6,87,2,8,42,571,0,62017
PERQUIMANS,3,90,25,1,2,2018,56,65,0,119,2,0,0,89,28,2,2,0,0,6,115,0,13381
PERSON,10,258,96,22,14,2018,207,193,0,383,14,3,0,236,126,4,34,0,8,43,349,0,39436
PITT,29,1639,346,61,10,2018,1061,1024,0,2005,74,6,0,852,940,72,221,8,49,184,1844,0,179575
POLK,1,102,23,8,15,2018,78,71,0,149,0,0,0,127,9,4,9,1,2,8,138,0,20668
RANDOLPH,35,945,412,111,17,2018,755,765,0,1470,50,0,0,1071,94,45,310,2,21,101,1396,0,143249
RICHMOND,13,319,188,32,3,2018,283,272,0,526,26,3,0,270,208,34,43,0,11,52,491,1,44888
ROBESON,46,704,539,161,249,2018,858,841,0,1631,62,6,0,310,345,780,264,6,35,162,1496,0,131884
ROCKINGHAM,13,685,167,47,1,2018,469,444,0,882,28,3,0,655,174,17,67,2,11,71,829,0,90617
ROWAN,48,986,467,89,3,2018,806,787,0,1541,52,0,0,983,301,41,268,1,33,142,1417,0,141128
RUTHERFORD,15,461,130,18,30,2018,336,318,0,631,23,0,0,517,83,6,48,2,5,52,595,0,66775
SAMPSON,22,556,207,43,6,2018,422,412,0,805,29,0,0,366,161,25,282,0,15,61,758,0,63345
SCOTLAND,14,276,119,27,7,2018,225,218,0,433,10,0,0,131,199,94,19,1,11,62,369,0,34751
STANLY,11,477,154,30,4,2018,338,338,0,649,27,0,0,524,87,19,46,1,14,59,602,0,62180
STOKES,3,294,81,14,4,2018,198,198,0,386,10,0,0,366,12,2,16,1,2,33,360,0,45511
SURRY,6,557,144,47,3,2018,387,370,0,733,24,0,0,565,35,1,156,0,9,62,685,1,71959
SWAIN,5,97,28,10,1,2018,78,63,0,139,2,0,0,72,1,55,13,0,2,10,129,0,14249
TRANSYLVANIA,7,229,34,6,2,2018,138,140,0,273,5,0,0,244,7,6,21,0,4,24,250,0,34173
TYRRELL,2,27,4,1,0,2018,16,18,0,34,0,0,0,23,5,0,6,0,0,1,33,0,4115
UNION,35,1592,694,126,8,2018,1273,1182,0,2383,69,3,0,1580,341,109,425,5,31,154,2264,1,235830
VANCE,31,324,141,61,5,2018,281,281,0,538,24,0,0,151,341,12,58,1,11,58,492,0,44635
WAKE,218,8624,2773,860,105,2018,6479,6101,0,12130,441,9,0,6470,2692,1397,2021,30,153,772,11620,5,1091273
WARREN,6,100,37,15,1,2018,76,83,0,155,4,0,0,54,83,15,7,0,3,14,142,0,19819
WASHINGTON,3,93,30,3,0,2018,69,60,0,127,2,0,0,44,73,0,12,2,1,10,116,0,11769
WATAUGA,7,274,52,15,6,2018,176,178,0,336,18,0,0,313,6,11,24,1,0,32,321,0,56034
WAYNE,24,1111,384,113,6,2018,808,830,0,1592,46,0,0,742,526,54,316,5,26,115,1492,0,123237
WILKES,16,466,164,43,7,2018,351,345,0,676,20,0,0,566,36,8,86,0,12,40,644,0,68563
WILSON,12,668,243,51,2,2018,499,477,0,943,30,3,0,368,421,28,159,2,13,103,858,0,81392
YADKIN,5,245,92,20,1,2018,182,181,0,353,10,0,0,276,12,5,70,0,3,35,325,0,37481
YANCEY,2,155,19,6,1,2018,84,99,0,176,4,3,0,162,0,0,21,0,4,16,163,0,17873
ALAMANCE,52,1261,401,103,46,2019,953,909,1,1806,55,2,0,983,448,41,391,4,26,142,1691,0,169509
ALEXANDER,9,269,51,26,2,2019,189,168,0,346,11,0,0,309,15,10,23,1,3,27,325,1,37497
ALLEGHANY,3,52,18,5,1,2019,47,32,0,77,2,0,0,62,0,1,16,0,0,8,71,0,11137
ANSON,9,163,64,15,3,2019,113,141,0,241,13,0,0,97,141,6,10,0,5,34,215,0,24446
ASHE,4,158,31,11,0,2019,99,105,0,198,6,0,0,180,3,1,20,0,2,20,182,0,27203
AVERY,2,112,14,4,3,2019,62,73,0,135,0,0,0,118,0,1,16,0,2,6,127,0,17557
BEAUFORT,8,322,92,10,1,2019,214,219,0,413,20,0,0,225,132,4,72,2,10,42,379,0,46994
BERTIE,0,133,22,6,0,2019,84,76,1,155,6,0,0,54,103,1,3,0,1,17,143,0,18947
BLADEN,18,211,86,28,1,2019,172,172,0,338,6,0,0,170,106,13,55,0,5,20,319,0,32722
BRUNSWICK,23,670,246,58,29,2019,503,523,0,1000,26,0,0,738,135,30,123,1,6,75,944,0,142820
BUNCOMBE,34,2042,220,35,133,2019,1244,1220,0,2402,59,3,0,1870,202,68,324,4,28,165,2266,1,261191
BURKE,16,646,173,51,4,2019,439,451,0,860,30,0,0,649,48,78,115,1,11,65,812,1,90485
CABARRUS,54,1775,548,141,19,2019,1352,1185,0,2449,85,3,0,1371,507,198,461,6,28,168,2335,0,216453
CALDWELL,14,587,209,67,5,2019,448,434,0,854,28,0,0,735,62,10,75,3,12,77,789,1,82178
CAMDEN,0,91,13,0,0,2019,57,47,0,98,6,0,0,87,11,1,5,0,1,13,90,0,10867
CARTERET,5,390,93,33,0,2019,270,251,0,505,16,0,0,445,25,8,43,0,3,31,487,0,69473
CASWELL,4,143,46,10,6,2019,102,107,0,197,12,0,0,135,55,4,15,1,4,12,192,0,22604
CATAWBA,39,1287,267,90,4,2019,855,832,0,1644,40,3,0,1080,173,143,291,3,23,124,1537,0,159551
CHATHAM,3,439,126,18,23,2019,326,283,0,585,24,0,0,383,65,19,142,1,5,44,558,1,74470
CHEROKEE,2,190,28,14,11,2019,142,103,0,233,12,0,0,225,4,5,11,1,4,15,225,0,28612
CHOWAN,0,105,17,1,0,2019,55,68,0,115,8,0,0,69,44,0,10,0,2,15,106,0,13943
CLAY,1,65,14,1,5,2019,46,40,0,84,2,0,0,75,0,3,8,0,0,4,82,0,11231
CLEVELAND,24,800,257,52,13,2019,598,548,0,1120,26,0,0,786,273,14,73,0,18,103,1025,0,97947
COLUMBUS,12,316,104,30,100,2019,284,278,0,542,20,0,0,327,165,30,40,2,5,56,499,0,55508
CRAVEN,14,959,268,72,6,2019,665,654,0,1281,38,0,0,815,285,70,149,3,13,109,1194,0,102139
CUMBERLAND,84,3961,1113,289,15,2019,2801,2661,0,5244,212,6,0,2155,2154,308,845,11,98,449,4903,1,335509
CURRITUCK,1,223,28,5,2,2019,131,128,0,251,8,0,0,221,19,3,16,0,2,14,243,0,27763
DARE,2,247,51,8,2,2019,151,159,0,306,4,0,0,245,7,8,50,0,3,19,288,0,37009
DAVIDSON,35,1170,385,176,9,2019,882,893,0,1707,68,0,0,1319,222,38,196,1,28,156,1589,1,167609
DAVIE,25,293,69,15,0,2019,218,184,0,387,15,0,0,313,31,4,54,1,8,23,370,0,42846
DUPLIN,17,456,190,52,3,2019,382,336,0,698,20,0,0,300,174,4,240,0,9,57,652,0,58741
DURHAM,62,2915,887,235,59,2019,2096,2062,0,4032,126,0,0,1559,1336,288,975,6,58,303,3787,4,321488
EDGECOMBE,18,319,202,32,1,2019,308,264,0,559,13,0,0,163,359,4,46,2,7,59,504,0,51472
FORSYTH,93,3139,884,264,30,2019,2235,2175,0,4250,160,0,0,1988,1330,154,938,14,80,376,3935,5,382295
FRANKLIN,97,446,146,70,11,2019,371,399,0,740,30,0,0,446,187,14,123,1,9,54,705,1,69685
GASTON,71,1779,605,119,25,2019,1357,1242,0,2502,97,0,0,1598,605,58,338,4,46,214,2335,0,224529
GATES,0,71,21,4,1,2019,51,46,0,95,2,0,0,67,25,1,4,0,1,5,91,0,11562
GRAHAM,2,76,10,3,6,2019,51,46,0,91,6,0,0,82,1,11,3,0,1,6,90,0,8441
GRANVILLE,29,365,129,40,5,2019,296,272,0,556,12,0,0,293,191,4,80,1,9,43,514,1,60443
GREENE,4,170,40,10,1,2019,100,125,0,223,2,0,0,86,79,1,59,1,5,18,201,0,21069
GUILFORD,106,3826,1655,442,16,2019,3053,2992,0,5851,188,6,0,2131,2530,518,866,20,87,473,5463,2,537174
HALIFAX,10,390,97,35,5,2019,264,273,0,515,22,0,0,190,307,22,18,2,11,76,448,0,50010
HARNETT,74,1243,407,113,23,2019,966,894,0,1815,42,3,0,1104,387,59,310,5,31,136,1688,0,135976
HAYWOOD,12,435,54,16,8,2019,265,260,0,512,13,0,0,483,8,10,24,1,10,45,469,0,62317
HENDERSON,19,779,156,30,38,2019,489,533,0,1001,21,0,0,752,33,25,212,2,5,69,946,0,117417
HERTFORD,2,152,34,5,2,2019,96,99,0,191,4,0,0,54,131,1,9,0,3,20,172,0,23677
HOKE,19,605,189,47,7,2019,452,415,0,839,28,0,0,397,227,90,153,3,20,64,780,0,55234
HYDE,0,27,8,2,0,2019,19,18,0,37,0,0,0,20,10,0,7,0,0,3,34,0,4937
IREDELL,68,1292,420,100,4,2019,971,913,0,1831,53,0,0,1303,279,79,223,4,21,116,1743,0,181806
JACKSON,6,273,61,19,13,2019,187,185,0,370,2,0,0,275,3,56,38,0,5,19,348,0,43938
JOHNSTON,42,1853,509,108,10,2019,1301,1221,0,2425,97,0,0,1467,477,52,526,5,24,190,2303,0,209339
JONES,1,50,32,9,0,2019,49,43,0,90,2,0,0,59,21,3,9,0,0,5,87,0,9419
LEE,17,434,243,56,31,2019,427,354,0,736,42,3,0,372,164,16,229,3,16,66,695,1,61779
LENOIR,13,460,120,24,2,2019,313,306,0,609,10,0,0,246,296,8,69,3,20,57,538,1,55949
LINCOLN,32,645,151,42,1,2019,436,435,0,846,25,0,0,703,50,22,96,0,9,62,800,0,86111
MCDOWELL,2,351,53,18,10,2019,220,214,0,416,18,0,0,377,9,4,44,1,6,38,388,1,45756
MACON,4,237,56,11,10,2019,176,142,0,308,10,0,0,239,3,5,71,0,4,22,292,0,35858
MADISON,0,150,17,4,10,2019,91,90,0,181,0,0,0,173,1,1,6,0,3,10,168,0,21755
MARTIN,2,166,45,8,0,2019,111,110,0,217,4,0,0,104,103,0,14,0,6,17,198,0,22440
MECKLENBURG,441,8777,4021,1111,48,2019,7346,7051,1,13936,450,12,0,5428,4506,1342,3122,26,243,1184,12940,5,1110356
MITCHELL,1,105,14,6,1,2019,66,61,0,127,0,0,0,111,0,2,14,0,0,8,119,0,14964
MONTGOMERY,3,164,89,21,1,2019,135,143,0,266,12,0,0,143,51,11,73,0,1,26,251,0,27173
MOORE,19,743,309,70,6,2019,580,567,0,1109,38,0,0,853,132,46,116,0,9,69,1069,0,100880
NASH,29,741,263,62,6,2019,539,562,0,1062,36,3,0,409,531,32,129,1,25,100,975,0,94298
NEW HANOVER,22,1387,638,110,15,2019,1108,1064,0,2108,64,0,0,1462,380,54,276,3,25,143,2000,1,234473
NORTHAMPTON,1,129,22,12,1,2019,90,75,0,161,4,0,0,57,99,3,6,0,1,18,146,0,19483
ONSLOW,61,2467,945,330,18,2019,1931,1890,0,3696,119,6,0,2565,505,133,618,6,33,248,3534,0,197938
ORANGE,9,870,199,51,35,2019,591,573,0,1113,48,3,0,693,167,125,179,1,15,86,1062,0,148476
PAMLICO,0,58,12,3,0,2019,33,40,0,73,0,0,0,54,11,3,5,1,1,5,66,0,12726
PASQUOTANK,4,350,98,17,5,2019,231,243,0,458,16,0,0,255,176,5,38,2,6,36,430,0,39824
PENDER,12,396,175,32,9,2019,338,286,0,606,18,0,0,437,96,10,81,2,8,42,572,0,63060
PERQUIMANS,0,88,26,4,0,2019,58,60,0,116,2,0,0,83,32,3,0,0,0,8,110,0,13463
PERSON,5,270,124,24,12,2019,237,198,0,425,10,0,0,258,136,8,33,2,7,41,385,0,39490
PITT,35,1632,359,51,2,2019,1087,992,0,1996,79,4,0,900,958,44,177,12,49,199,1818,1,180742
POLK,7,104,28,6,21,2019,90,76,0,164,2,0,0,143,3,2,18,0,3,5,158,0,20724
RANDOLPH,29,992,426,88,11,2019,791,755,0,1498,48,0,0,1080,102,44,320,5,19,109,1413,0,143667
RICHMOND,11,312,185,49,4,2019,279,282,0,539,22,0,0,285,191,26,59,2,6,48,505,0,44829
ROBESON,158,925,450,150,48,2019,865,866,0,1680,48,3,0,326,350,808,247,6,30,164,1530,1,130625
ROCKINGHAM,4,678,147,53,3,2019,465,420,0,863,22,0,0,614,183,10,78,2,19,69,794,1,91010
ROWAN,49,1003,376,111,9,2019,761,787,0,1495,50,3,0,971,286,36,255,5,29,125,1388,1,142088
RUTHERFORD,21,421,151,45,42,2019,352,328,0,664,16,0,0,537,89,6,48,0,12,50,618,0,67029
SAMPSON,21,481,165,55,5,2019,376,351,0,709,18,0,0,296,175,14,242,1,8,60,658,0,63531
SCOTLAND,12,254,138,31,7,2019,229,213,0,428,14,0,0,141,199,87,15,1,13,51,377,0,34823
STANLY,4,509,132,22,1,2019,329,339,0,650,18,0,0,517,76,23,52,0,9,40,619,0,62806
STOKES,10,276,67,17,0,2019,178,192,0,366,4,0,0,342,12,1,15,2,1,26,341,0,45591
SURRY,21,553,134,55,3,2019,392,374,0,741,25,0,0,572,35,7,152,2,12,55,697,0,71783
SWAIN,3,133,30,8,7,2019,107,74,0,173,8,0,0,99,3,61,18,0,6,11,164,0,14271
TRANSYLVANIA,9,215,21,2,15,2019,127,135,0,254,8,0,0,231,13,3,15,0,10,21,231,0,34385
TYRRELL,0,24,5,1,0,2019,15,15,0,30,0,0,0,15,11,0,4,0,0,1,29,0,4016
UNION,25,1491,606,151,6,2019,1134,1145,0,2208,71,0,0,1465,306,80,428,2,22,132,2122,1,239859
VANCE,38,315,152,62,3,2019,292,278,0,549,21,0,0,162,318,13,77,3,13,51,503,0,44535
WAKE,465,8159,3016,912,137,2019,6536,6153,0,12261,411,17,0,6314,2915,1368,2092,30,171,763,11724,1,1111761
WARREN,7,87,32,16,3,2019,82,63,0,138,7,0,0,40,86,9,10,0,2,17,126,0,19731
WASHINGTON,2,95,30,5,0,2019,74,58,0,119,10,3,0,34,91,0,7,3,3,15,111,0,11580
WATAUGA,4,238,57,13,1,2019,170,143,0,308,5,0,0,275,4,8,26,0,4,19,290,0,56177
WAYNE,30,1032,433,114,10,2019,816,803,0,1568,48,3,0,729,514,38,338,7,30,142,1440,0,123131
WILKES,14,418,173,59,5,2019,340,329,0,643,26,0,0,554,35,3,77,1,15,63,590,0,68412
WILSON,20,661,231,60,4,2019,514,462,0,943,30,3,0,357,427,22,170,4,22,100,850,0,81801
YADKIN,13,242,87,31,2,2019,185,190,0,363,12,0,0,291,9,3,72,1,7,30,336,1,37667
YANCEY,3,146,15,4,6,2019,100,74,0,168,6,0,0,156,1,0,17,0,0,14,160,0,18069
